transcript_link,date,youtube_link,transcript_id,video_id
/et/202105201000,2021-05-20 10:00:00,https://www.youtube.com/watch?v=crJVxpNkQB4,202105201000,202105201000_crJVxpNkQB4
/et/202105311500,2021-05-31 15:00:00,https://www.youtube.com/watch?v=ML6WiBVr2EM,202105311500,202105311500_ML6WiBVr2EM
/et/202106021200,2021-06-02 12:00:00,https://www.youtube.com/watch?v=ZqxsxMbAgbw,202106021200,202106021200_ZqxsxMbAgbw
/et/202106021400,2021-06-02 14:00:00,https://www.youtube.com/watch?v=kY2armlb2os,202106021400,202106021400_kY2armlb2os
/et/202106031000,2021-06-03 10:00:00,https://www.youtube.com/watch?v=EOxGJsbiWDw,202106031000,202106031000_EOxGJsbiWDw
/et/202106071500,2021-06-07 15:00:00,https://www.youtube.com/watch?v=zVqguU0CO34,202106071500,202106071500_zVqguU0CO34
/et/202106081000,2021-06-08 10:00:00,https://www.youtube.com/watch?v=rXQza6sSAQM,202106081000,202106081000_rXQza6sSAQM
/et/202106091200,2021-06-09 12:00:00,https://www.youtube.com/watch?v=7v-Qp0Q5XVA,202106091200,202106091200_7v-Qp0Q5XVA
/et/202106101000,2021-06-10 10:00:00,https://www.youtube.com/watch?v=H-wIhRPWZkE,202106101000,202106101000_H-wIhRPWZkE
/et/202106120900,2021-06-12 09:00:00,https://www.youtube.com/watch?v=XexaRuacGTI,202106120900,202106120900_XexaRuacGTI
/et/202106141500,2021-06-14 15:00:00,https://www.youtube.com/watch?v=XgLm-unszzw,202106141500,202106141500_XgLm-unszzw
/et/202106151000,2021-06-15 10:00:00,https://www.youtube.com/watch?v=hDRNKfVrtm0,202106151000,202106151000_hDRNKfVrtm0
/et/202106161200,2021-06-16 12:00:00,https://www.youtube.com/watch?v=DWlwCo7yAxE,202106161200,202106161200_DWlwCo7yAxE
/et/202106171000,2021-06-17 10:00:00,https://www.youtube.com/watch?v=StTo1NgIoCE,202106171000,202106171000_StTo1NgIoCE
/et/202108301300,2021-08-30 13:00:00,https://www.youtube.com/watch?v=Vr_zZ8bLQSQ,202108301300,202108301300_Vr_zZ8bLQSQ
/et/202108311200,2021-08-31 12:00:00,https://www.youtube.com/watch?v=xyLosdeO6ro,202108311200,202108311200_xyLosdeO6ro
/et/202109131500,2021-09-13 15:00:00,https://www.youtube.com/watch?v=moK-a1GS6-M,202109131500,202109131500_moK-a1GS6-M
/et/202109141000,2021-09-14 10:00:00,https://www.youtube.com/watch?v=UAHKHT1AucY,202109141000,202109141000_UAHKHT1AucY
/et/202109151200,2021-09-15 12:00:00,https://www.youtube.com/watch?v=thGjMwwX-L8,202109151200,202109151200_thGjMwwX-L8
/et/202109151400,2021-09-15 14:00:00,https://www.youtube.com/watch?v=buzCQN0SFbw,202109151400,202109151400_buzCQN0SFbw
/et/202109161000,2021-09-16 10:00:00,https://www.youtube.com/watch?v=_1GENOaKYok,202109161000,202109161000__1GENOaKYok
/et/202109201500,2021-09-20 15:00:00,https://www.youtube.com/watch?v=YGfK8K7dm9Q,202109201500,202109201500_YGfK8K7dm9Q
/et/202109211000,2021-09-21 10:00:00,https://www.youtube.com/watch?v=mzCerMGxKsA,202109211000,202109211000_mzCerMGxKsA
/et/202109221200,2021-09-22 12:00:00,https://www.youtube.com/watch?v=aZcePbP75IA,202109221200,202109221200_aZcePbP75IA
/et/202109221400,2021-09-22 14:00:00,https://www.youtube.com/watch?v=jhpF1Ji_U-A,202109221400,202109221400_jhpF1Ji_U-A
/et/202109231000,2021-09-23 10:00:00,https://www.youtube.com/watch?v=9LUjvu-9vH0,202109231000,202109231000_9LUjvu-9vH0
/et/202109271500,2021-09-27 15:00:00,https://www.youtube.com/watch?v=RfLmNCqj47I,202109271500,202109271500_RfLmNCqj47I
/et/202109291200,2021-09-29 12:00:00,https://www.youtube.com/watch?v=l4g6nv2wORw,202109291200,202109291200_l4g6nv2wORw
/et/202109291400,2021-09-29 14:00:00,https://www.youtube.com/watch?v=fwTK9m0XnHM,202109291400,202109291400_fwTK9m0XnHM
/et/202109301000,2021-09-30 10:00:00,https://www.youtube.com/watch?v=i-M0F4EP3-I,202109301000,202109301000_i-M0F4EP3-I
/et/202110111500,2021-10-11 15:00:00,https://www.youtube.com/watch?v=Ba-bo5wxiyU,202110111500,202110111500_Ba-bo5wxiyU
/et/202110121001,2021-10-12 10:01:00,https://www.youtube.com/watch?v=-T6_VSooeeo,202110121001,202110121001_-T6_VSooeeo
/et/202110131200,2021-10-13 12:00:00,https://www.youtube.com/watch?v=RaLNsLr3-pU,202110131200,202110131200_RaLNsLr3-pU
/et/202110131400,2021-10-13 14:00:00,https://www.youtube.com/watch?v=ZIwDaVlHtO8,202110131400,202110131400_ZIwDaVlHtO8
/et/202110141000,2021-10-14 10:00:00,https://www.youtube.com/watch?v=sdjL3x_RkSQ,202110141000,202110141000_sdjL3x_RkSQ
/et/202110181500,2021-10-18 15:00:00,https://www.youtube.com/watch?v=owLERIcOEwo,202110181500,202110181500_owLERIcOEwo
/et/202110191000,2021-10-19 10:00:00,https://www.youtube.com/watch?v=qAySH26dpfs,202110191000,202110191000_qAySH26dpfs
/et/202110201200,2021-10-20 12:00:00,https://www.youtube.com/watch?v=gas6ylFaVVA,202110201200,202110201200_gas6ylFaVVA
