video_id,generic_m3u8_link,html_link,date,processed_transcript_text_link
slovakia_9_32_1_18022025,https://tv.nrsr.sk/archiv/schodza/9/32?MeetingDate=18022025&DisplayChairman=true,https://tv.nrsr.sk/archiv/schodza/9/32?MeetingDate=18022025&DisplayChairman=true,18022025,https://tv.nrsr.sk/archiv/schodza/9/32?MeetingDate=18022025&DisplayChairman=true
slovakia_9_32_2_19022025,https://tv.nrsr.sk/archiv/schodza/9/32?MeetingDate=19022025&DisplayChairman=true,https://tv.nrsr.sk/archiv/schodza/9/32?MeetingDate=19022025&DisplayChairman=true,19022025,https://tv.nrsr.sk/archiv/schodza/9/32?MeetingDate=19022025&DisplayChairman=true
slovakia_9_31_1_18022025,https://tv.nrsr.sk/archiv/schodza/9/31?MeetingDate=18022025&DisplayChairman=true,https://tv.nrsr.sk/archiv/schodza/9/31?MeetingDate=18022025&DisplayChairman=true,18022025,https://tv.nrsr.sk/archiv/schodza/9/31?MeetingDate=18022025&DisplayChairman=true
slovakia_9_31_2_19022025,https://tv.nrsr.sk/archiv/schodza/9/31?MeetingDate=19022025&DisplayChairman=true,https://tv.nrsr.sk/archiv/schodza/9/31?MeetingDate=19022025&DisplayChairman=true,19022025,https://tv.nrsr.sk/archiv/schodza/9/31?MeetingDate=19022025&DisplayChairman=true
slovakia_9_30_1_04022025,https://tv.nrsr.sk/archiv/schodza/9/30?MeetingDate=04022025&DisplayChairman=true,https://tv.nrsr.sk/archiv/schodza/9/30?MeetingDate=04022025&DisplayChairman=true,4022025,https://tv.nrsr.sk/archiv/schodza/9/30?MeetingDate=04022025&DisplayChairman=true
slovakia_9_30_2_05022025,https://tv.nrsr.sk/archiv/schodza/9/30?MeetingDate=05022025&DisplayChairman=true,https://tv.nrsr.sk/archiv/schodza/9/30?MeetingDate=05022025&DisplayChairman=true,5022025,https://tv.nrsr.sk/archiv/schodza/9/30?MeetingDate=05022025&DisplayChairman=true
slovakia_9_29_1_27012025,https://tv.nrsr.sk/archiv/schodza/9/29?MeetingDate=27012025&DisplayChairman=true,https://tv.nrsr.sk/archiv/schodza/9/29?MeetingDate=27012025&DisplayChairman=true,27012025,https://tv.nrsr.sk/archiv/schodza/9/29?MeetingDate=27012025&DisplayChairman=true
slovakia_9_29_2_29012025,https://tv.nrsr.sk/archiv/schodza/9/29?MeetingDate=29012025&DisplayChairman=true,https://tv.nrsr.sk/archiv/schodza/9/29?MeetingDate=29012025&DisplayChairman=true,29012025,https://tv.nrsr.sk/archiv/schodza/9/29?MeetingDate=29012025&DisplayChairman=true
slovakia_9_28_1_16012025,https://tv.nrsr.sk/archiv/schodza/9/28?MeetingDate=16012025&DisplayChairman=true,https://tv.nrsr.sk/archiv/schodza/9/28?MeetingDate=16012025&DisplayChairman=true,16012025,https://tv.nrsr.sk/archiv/schodza/9/28?MeetingDate=16012025&DisplayChairman=true
slovakia_9_27_1_09012025,https://tv.nrsr.sk/archiv/schodza/9/27?MeetingDate=09012025&DisplayChairman=true,https://tv.nrsr.sk/archiv/schodza/9/27?MeetingDate=09012025&DisplayChairman=true,9012025,https://tv.nrsr.sk/archiv/schodza/9/27?MeetingDate=09012025&DisplayChairman=true
slovakia_9_27_2_15012025,https://tv.nrsr.sk/archiv/schodza/9/27?MeetingDate=15012025&DisplayChairman=true,https://tv.nrsr.sk/archiv/schodza/9/27?MeetingDate=15012025&DisplayChairman=true,15012025,https://tv.nrsr.sk/archiv/schodza/9/27?MeetingDate=15012025&DisplayChairman=true
slovakia_9_26_1_05122024,https://tv.nrsr.sk/archiv/schodza/9/26?MeetingDate=05122024&DisplayChairman=true,https://tv.nrsr.sk/archiv/schodza/9/26?MeetingDate=05122024&DisplayChairman=true,5122024,https://tv.nrsr.sk/archiv/schodza/9/26?MeetingDate=05122024&DisplayChairman=true
slovakia_9_25_1_02122024,https://tv.nrsr.sk/archiv/schodza/9/25?MeetingDate=02122024&DisplayChairman=true,https://tv.nrsr.sk/archiv/schodza/9/25?MeetingDate=02122024&DisplayChairman=true,2122024,https://tv.nrsr.sk/archiv/schodza/9/25?MeetingDate=02122024&DisplayChairman=true
slovakia_9_25_2_03122024,https://tv.nrsr.sk/archiv/schodza/9/25?MeetingDate=03122024&DisplayChairman=true,https://tv.nrsr.sk/archiv/schodza/9/25?MeetingDate=03122024&DisplayChairman=true,3122024,https://tv.nrsr.sk/archiv/schodza/9/25?MeetingDate=03122024&DisplayChairman=true
slovakia_9_24_1_25112024,https://tv.nrsr.sk/archiv/schodza/9/24?MeetingDate=25112024&DisplayChairman=true,https://tv.nrsr.sk/archiv/schodza/9/24?MeetingDate=25112024&DisplayChairman=true,25112024,https://tv.nrsr.sk/archiv/schodza/9/24?MeetingDate=25112024&DisplayChairman=true
slovakia_9_23_1_25112024,https://tv.nrsr.sk/archiv/schodza/9/23?MeetingDate=25112024&DisplayChairman=true,https://tv.nrsr.sk/archiv/schodza/9/23?MeetingDate=25112024&DisplayChairman=true,25112024,https://tv.nrsr.sk/archiv/schodza/9/23?MeetingDate=25112024&DisplayChairman=true
slovakia_9_23_2_26112024,https://tv.nrsr.sk/archiv/schodza/9/23?MeetingDate=26112024&DisplayChairman=true,https://tv.nrsr.sk/archiv/schodza/9/23?MeetingDate=26112024&DisplayChairman=true,26112024,https://tv.nrsr.sk/archiv/schodza/9/23?MeetingDate=26112024&DisplayChairman=true
